Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
69,34,SELL (EXIT),2010-12-20,SAIL.NS,Monthly,184.2,121,193.07,21366.18,1995.29,65.48,1929.81,9.032077797715829,126145.00000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0034_SAIL.NS_2010-11-29_PROFIT.png
70,35,BUY (ENTRY),2010-12-20,HEROMOTOCO.NS,Monthly,1669.9,8,1704.2,13633.6,0.0,0.0,0.0,0.0,112511.40000000002,1:2,OPEN,N/A
71,36,BUY (ENTRY),2010-12-20,HEROMOTOCO.NS,Monthly,1669.9,8,1704.2,13633.6,0.0,0.0,0.0,0.0,98877.80000000003,1:2,OPEN,N/A
72,35,SELL (EXIT),2010-12-21,HEROMOTOCO.NS,Monthly,1669.9,8,1938.78,13633.6,1876.64,48.17,1828.47,13.411498063607558,127973.47000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0035_HEROMOTOCO.NS_2010-12-20_PROFIT.png
73,36,SELL (EXIT),2010-12-21,HEROMOTOCO.NS,Monthly,1669.9,8,1938.78,13633.6,1876.64,48.17,1828.47,13.411498063607558,129801.94000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0036_HEROMOTOCO.NS_2010-12-20_PROFIT.png
74,37,BUY (ENTRY),2010-12-21,SUBROS.NS,Weekly,39.8,925,41.04,37962.0,0.0,0.0,0.0,0.0,91839.94000000003,1:2,OPEN,N/A
75,38,BUY (ENTRY),2010-12-22,JSL.NS,Monthly,97.0,86,106.61,9168.46,0.0,0.0,0.0,0.0,82671.48000000004,1:2,OPEN,N/A
76,37,SELL (EXIT),2011-01-28,SUBROS.NS,Weekly,39.8,925,43.2,37962.0,1998.0,102.37,1895.63,4.993493493493493,131697.57000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0037_SUBROS.NS_2010-12-21_PROFIT.png
77,39,BUY (ENTRY),2010-12-23,CYIENT.NS,Monthly,152.0,108,154.05,16637.4,0.0,0.0,0.0,0.0,105891.71000000004,1:2,OPEN,N/A
78,39,SELL (EXIT),2010-12-30,CYIENT.NS,Monthly,152.0,108,172.45,16637.4,1987.2,54.97,1932.23,11.613773786769567,133629.80000000005,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0039_CYIENT.NS_2010-12-23_PROFIT.png
